Rank,Player,Nation,Confederation,Goals,Caps,Goals per match,Career span,Date of 50th goal
1,Cristiano Ronaldo, Portugal,UEFA,135,217,0.62,2003-,26-Jun-14
2,Lionel Messi, Argentina,CONMEBOL,112,190,0.59,2005-,29-Mar-16
3,Ali Daei, Iran,AFC,108,148,0.73,1993-2006,9-Jan-00
4,Sunil Chhetri, India,AFC,94,151,0.62,2005-2024,31-Dec-15
5,Mokhtar Dahari, Malaysia,AFC,89,142,0.63,1972-1985,22-Aug-76
6,Ali Mabkhout, United Arab Emirates,AFC,85,115,0.74,2009-,31-Aug-19
6,Romelu Lukaku, Belgium,UEFA,85,120,0.71,2010-,10-Oct-19
8,Ferenc Pusk s, Hungary_Spain,UEFA,84,89,0.94,1945-1962,24-Jul-52
8,Robert Lewandowski, Poland,UEFA,84,156,0.54,2008-,5-Oct-17
10,Godfrey Chitalu, Zambia,CAF,79,111,0.71,1968-1980,7-Nov-78
10,Neymar, Brazil,CONMEBOL,79,128,0.62,2010-,11-Nov-16
12,Hussein Saeed, Iraq,AFC,78,137,0.57,1977-1990,17-Mar-84
13,Pel , Brazil,CONMEBOL,77,92,0.84,1957-1971,4-Jul-65
14,Vivian Woodward, England_ England amateurs,UEFA,75,53,1.42,1903-1914,31-May-09
14,S ndor Kocsis, Hungary,UEFA,75,68,1.1,1948-1956,19-Sep-54
14,Kunishige Kamamoto, Japan,AFC,75,76,0.99,1964-1977,18-Jul-72
14,Bashar Abdullah, Kuwait,AFC,75,134,0.56,1996-2007,25-Dec-02
18,Majed Abdullah, Saudi Arabia,AFC,72,117,0.62,1977-1994,15-Apr-84
19,Kinnah Phiri, Malawi,CAF,71,117,0.61,1973-1981,6-Jul-78
19,Kiatisuk Senamuang, Thailand,AFC,71,134,0.53,1993-2007,23-Jan-01
19,Miroslav Klose, Germany,UEFA,71,137,0.52,2001-2014,27-Jun-10
22,Piyapong Pue-on, Thailand,AFC,70,100,0.7,1981-1997,30-Jan-89
22,Abdul Kadir, Indonesia,AFC,70,111,0.63,1967-1979,8-Aug-72
22,Stern John, Trinidad and Tobago,CONCACAF,70,115,0.61,1995-2012,13-Jun-04
25,Luis Su rez, Uruguay,CONMEBOL,69,143,0.48,2007-2024,23-Mar-18
